configuration_number,threshold,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_roc_auc
0,0.5,0.7221503740332192,0.36012702709737876,0.3141604977519415,0.3355769813837851,0.6470981373387895
1,0.3,0.4504729301382021,0.267535584423095,0.8403878468595304,0.40586496756611523,0.6495893505864819
1,0.31,0.4667376695828579,0.2712784273801147,0.8229029474544711,0.4080417060757555,0.6495893505864819
1,0.32,0.4826271078990744,0.27498544537162817,0.8044189109405513,0.40986214516698194,0.6495893505864819
1,0.33,0.49759350830480537,0.2785611950870076,0.7858894591035015,0.41132636082719276,0.6495893505864819
1,0.34,0.5126917712691771,0.28235579456213566,0.7666333620963713,0.4127085026924276,0.6495893505864819
1,0.35,0.5265069101052364,0.2857366267300324,0.7468095735501158,0.41332939542658215,0.6495893505864819
1,0.36,0.5395207303157094,0.28906553102415344,0.7275080612198556,0.41373788507854925,0.6495893505864819
1,0.37,0.5537010270064663,0.292912258222553,0.7059811980562242,0.41403924649917767,0.6495893505864819
1,0.38,0.5684442753898821,0.29689107892028815,0.6813433852581862,0.4135711430579868,0.6495893505864819
1,0.39,0.5827868644605046,0.30101817727528263,0.6565693264907579,0.41278588356223056,0.6495893505864819
1,0.4,0.5968758716875872,0.3053975713125014,0.6316136064308098,0.4117202995944226,0.6495893505864819
1,0.41,0.6113198934956258,0.31008086127746837,0.6043189972296653,0.4098595453705415,0.6495893505864819
1,0.42,0.6255255483707367,0.31486934804488015,0.57543485171897,0.4070222215083642,0.6495893505864819
1,0.43,0.6388791682515532,0.31960529111772207,0.5464598755620146,0.40332176915212764,0.6495893505864819
1,0.44,0.6534246227970077,0.3252244216825872,0.5133521050002271,0.3981858212241303,0.6495893505864819
1,0.45,0.6672955496386459,0.33097653126812676,0.47940415096053407,0.39159749594249943,0.6495893505864819
1,0.46,0.67974641815646,0.3361516034985423,0.4450928743358009,0.38302653691327626,0.6495893505864819
1,0.47,0.6909750221884113,0.34131129062558707,0.41255279531313865,0.3735658181519102,0.6495893505864819
1,0.48,0.7029187270191455,0.3494397614067063,0.38312366592488306,0.36550730603004733,0.6495893505864819
1,0.49,0.7133307975148979,0.3556865464632455,0.34940278850084017,0.35251666704850054,0.6495893505864819
1,0.5,0.722510460251046,0.3621953738124742,0.31858849175711884,0.33899533669992993,0.6495893505864819
1,0.51,0.7305946494231013,0.3688481977818854,0.2899995458467687,0.32470570288067935,0.6495893505864819
1,0.52,0.7375985799416762,0.37413787467721377,0.2599118942731278,0.30673580683630125,0.6495893505864819
1,0.53,0.7447445162926335,0.382935178983404,0.23368454516553885,0.2902470667870036,0.6495893505864819
1,0.54,0.7504703943197667,0.3900506835895907,0.20795676461238022,0.2712798258216449,0.6495893505864819
1,0.55,0.7559426905033599,0.3997840596780526,0.18497661110858804,0.2529263824634396,0.6495893505864819
1,0.56,0.7601673640167363,0.4072996863416025,0.16217811889731595,0.23198479853182402,0.6495893505864819
1,0.57,0.7636363636363637,0.4144504432446844,0.14119623961124483,0.21063328873155943,0.6495893505864819
1,0.58,0.7665880562951692,0.4215477037388349,0.12109995912620919,0.1881493764222336,0.6495893505864819
1,0.59,0.7687130721440345,0.42611813549726363,0.10254779962759435,0.1653122483344315,0.6495893505864819
1,0.6,0.7710206669202485,0.4366951566951567,0.08701575911712611,0.14511578588605079,0.6495893505864819
1,0.61,0.7729833903892481,0.4499446902654867,0.07389073073254916,0.12693582992003122,0.6495893505864819
1,0.62,0.7741194370483073,0.45746852670976523,0.06106090194831736,0.1077410048882122,0.6495893505864819
1,0.63,0.7751388360593382,0.4686122191895864,0.05068350061310686,0.0914735353783734,0.6495893505864819
1,0.64,0.7756967161151261,0.47488705819824606,0.04057859121667651,0.07476831028639568,0.6495893505864819
1,0.65,0.7761176619754026,0.48214285714285715,0.032494663699532224,0.06088584436029443,0.6495893505864819
1,0.66,0.7763408139977178,0.48653344917463076,0.02543258095281348,0.04833836858006042,0.6495893505864819
1,0.67,0.7766958285786738,0.5022857142857143,0.01996003451564558,0.03839433912815585,0.6495893505864819
1,0.68,0.7766298972993534,0.49804839968774395,0.014487488078477679,0.02815596107592842,0.6495893505864819
1,0.69,0.776690756941803,0.503954802259887,0.010127617057995367,0.019856198383901343,0.6495893505864819
1,0.7,0.7768733358691517,0.5360134003350083,0.007266451700803851,0.014338523580150106,0.6495893505864819
